Beleidsdomein;Thema;Subthema;Verstrekker;KBO-nr;Vestiging;Naam subsidieontvanger;Postcode;Gemeente;Land;Jaar;Toegekend (EUR);Betaald (EUR)
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Algemene werkingssubsidie aan de gemeenten ter gedeeltelijke compensatie van hun verlies aan ontvangsten uit dividenden.;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2023;46,220;46,220
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Binnenlands bestuur (excl. fondsen lokale financiering);Subsidies voor de opbouw van opvangcapaciteit naar aanleiding van de Oekraïnecrisis;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2022;150,920;150,920
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Binnenlands bestuur (excl. fondsen lokale financiering);Subsidies voor de opbouw van opvangcapaciteit naar aanleiding van de Oekraïnecrisis;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2024;200,880;200,880
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Binnenlands bestuur (excl. fondsen lokale financiering);Subsidies voor de opbouw van opvangcapaciteit naar aanleiding van de Oekraïnecrisis;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2023;419,450;419,450
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Binnenlands bestuur (excl. fondsen lokale financiering);Subsidies voor de opbouw van opvangcapaciteit naar aanleiding van de Oekraïnecrisis;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2025;202,080;202,080
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Subsidie voor koopkrachtverhogende maatregelen voor de publieke socio-culturele sector;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2022;10,446;10,446
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Subsidie voor de versterking van gemeenten naar aanleiding van de inflatie;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2023;117,495;117,495
Kanselarij, Bestuur, Buitenlandse Zaken en Justitie;Fondsen lokale financiering;Subsidie voor de versterking van gemeenten naar aanleiding van de inflatie;Agentschap Binnenlands Bestuur;0207528134;;STAD DAMME;8340;DAMME;België;2024;154,994;154,994
Omgeving;Natuur en biodiversiteit;Vergoeding voor vrijwillige stopzetting van varkensstallen;VLAAMSE LANDMAATSCHAPPIJ;0448056361;;DE SNEPPE;8340;DAMME;België;2024;81,499;81,499
Werk, Economie, Wetenschap, Innovatie, Landbouw en Sociale Economie;Duurzame arbeidsmarkt (sociale economie);Digibanken;Departement Werk, Economie, Wetenschap, Innovatie en Sociale Economie;0207528134;;STAD DAMME;8340;DAMME;België;2025;9;0
