Beleidsdomein;Thema;Subthema;Verstrekker;KBO-nr;Vestiging;Naam subsidieontvanger;Postcode;Gemeente;Land;Jaar;Toegekend (EUR);Betaald (EUR)
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0699918049;;NSOLAR;8340;DAMME;België;2024;1,173;1,173
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0632996759;;IKONOBLAST;8340;DAMME;België;2024;288;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0464616538;;NATUURVLEES DOBBELAERE;8340;DAMME;België;2023;1,506;1,809
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0476387289;;WATELLE;8340;DAMME;België;2023;403;403
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0726631552;;BONNE GRONDWERKEN;8340;DAMME;België;2023;51;51
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0502597877;;DE KASTEELHOEVE MOERKERKE;8340;DAMME;België;2022;2,775;2,775
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0699790662;;SEFLO;8340;DAMME;België;2025;782;782
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0761931634;;RAMAN ENTERPRISE;8340;DAMME;België;2023;3,210;3,210
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;1008944708;;COASTLINE PROPERTY MANAGEMENT;8340;DAMME;België;2025;719;719
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0425749628;;HELEBLITZ SERVICES;8340;DAMME;België;2023;1,794;2,178
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0778412429;;ADLITEM;8340;DAMME;België;2022;124;124
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0457039155;;KNOKMOBYL;8340;DAMME;België;2022;99;99
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0479027471;;ES TEXTIEL;8340;DAMME;België;2024;900;900
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0425749628;;HELEBLITZ SERVICES;8340;DAMME;België;2022;3,060;2,676
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0752573114;;ADVOCATENKANTOOR OLIVIER IDE;8340;DAMME;België;2022;129;129
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0790646307;;VP SUPPORTS;8340;DAMME;België;2024;147;147
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0472325959;;BOUWBEDRIJF LOUWYCK-DE BRABANDER;8340;DAMME;België;2024;0;284
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0464648905;;VERPLEEGKUNDIGE ADVIESDIENST;8340;DAMME;België;2022;216;216
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0668738784;;STÉPHANE PIETERS;8340;DAMME;België;2022;912;912
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0462099783;;BART VERLEYE;8340;DAMME;België;2024;260;260
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0811980466;;KURT DE FAUW;8340;DAMME;België;2024;590;575
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0635906363;;WICA;8340;DAMME;België;2022;418;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0471765933;;STEFAAN MARTENS;8340;DAMME;België;2022;113;113
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0423343137;;BOUWONDERNEMING VAN HULLE WILLY EN ZOON;8340;DAMME;België;2024;182;182
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0707878878;;JULIE STALLAERT CONSULTING;8340;DAMME;België;2025;1,230;718
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0846634410;;LAMOTE TUINEN;8340;DAMME;België;2023;182;182
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0475275353;;DAVATRIX;8340;DAMME;België;2025;265;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0768388270;;ZEKERHUIS SMART INVEST;8340;DAMME;België;2024;6,624;6,624
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0825900560;;SILEX;8340;DAMME;België;2024;78;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0811384808;;TDL PROJECTS;8340;DAMME;België;2024;1,174;1,174
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0891099210;;ACA-DUMON;8340;DAMME;België;2022;186;186
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0699790662;;SEFLO;8340;DAMME;België;2023;86;86
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0676614194;;ALLOO BARBARA LOGOPEDIE;8340;DAMME;België;2024;225;225
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0447715178;;KURT PERSYN;8340;DAMME;België;2024;758;458
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0437299358;;DKH;8340;DAMME;België;2025;81;81
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0829638327;;ADMINISTRATIVE, FINANCIAL & COMMERCIAL SUPPORT;8340;DAMME;België;2022;801;801
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0832890894;;BUITENHUIS;8340;DAMME;België;2023;305;3,905
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0808312777;;LAMEIRE SERVICE;8340;DAMME;België;2024;56;56
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0436305604;;GUIDO GEERNAERT;8340;DAMME;België;2024;6,420;6,420
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0441006639;;DAKWERKEN DOBBELAERE;8340;DAMME;België;2023;63;63
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0884198748;;SOLARROOF;8340;DAMME;België;2023;228;228
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0464616538;;NATUURVLEES DOBBELAERE;8340;DAMME;België;2025;422;380
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0752573114;;ADVOCATENKANTOOR OLIVIER IDE;8340;DAMME;België;2023;162;162
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0466256828;;CRICO ENGINEERING;8340;DAMME;België;2024;78;78
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0833024518;;FIND BALANCE;8340;DAMME;België;2025;90;90
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0477634829;;MATTEUS;8340;DAMME;België;2023;695;608
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0436305604;;GUIDO GEERNAERT;8340;DAMME;België;2022;180;75
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0895048197;;OLIVIER SAMYN;8340;DAMME;België;2023;117;351
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0863700767;;PC-MATIC;8340;DAMME;België;2024;1,620;1,620
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0818328325;;BD CONSULT;8340;DAMME;België;2023;141;190
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0835535729;;EQUI3;8340;DAMME;België;2024;591;591
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0761986369;;FYSIO NVR;8340;DAMME;België;2024;500;375
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0808312777;;LAMEIRE SERVICE;8340;DAMME;België;2023;295;295
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0476387289;;WATELLE;8340;DAMME;België;2024;0;105
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0476756384;;2710;8340;DAMME;België;2023;32;3,629
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0849200752;;ELECTRONICK;8340;DAMME;België;2024;233;233
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0462255973;;VAN CAUWENBERGHE;8340;DAMME;België;2024;500;500
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0829484315;;ALGEMENE BOUWONDERNEMING PROOT-ROELS;8340;DAMME;België;2022;282;228
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0803220178;;TRAFFIC & TRANSPORT CONSULTANCY;8340;DAMME;België;2024;608;662
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0451187481;;BOUWBEDRIJF YVAN DE BAETS & ZOON;8340;DAMME;België;2025;38;38
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0803220178;;TRAFFIC & TRANSPORT CONSULTANCY;8340;DAMME;België;2023;54;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0771846321;;ALVEX;8340;DAMME;België;2024;1,792;1,792
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0424339564;;R. DEZWAEF;8340;DAMME;België;2024;344;269
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0832400253;;DAKWERKEN DE BOEVER;8340;DAMME;België;2023;359;359
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0707878878;;JULIE STALLAERT CONSULTING;8340;DAMME;België;2023;926;537
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0466435485;;BOONE MARC;8340;DAMME;België;2023;187;187
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0444614346;;TRADIBO;8340;DAMME;België;2024;685;63
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0465200023;;P.M.B.;8340;DAMME;België;2022;2,250;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0671688871;;DEMESMAEKER, NAERT & VERMINCK;8340;DAMME;België;2023;53;53
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;1000619930;;DEBLAUWE BIEKE;8340;DAMME;België;2024;353;353
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0864532393;;KOEN DANNEELS;8340;DAMME;België;2022;270;270
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0833024518;;FIND BALANCE;8340;DAMME;België;2024;360;360
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0886023437;;ZEDAM;8340;DAMME;België;2022;38;38
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0735986510;;TVP TRADING;8340;DAMME;België;2023;0;418
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0475102931;;LONNEVILLE FILIP;8340;DAMME;België;2023;0;526
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0668738784;;STÉPHANE PIETERS;8340;DAMME;België;2023;221;221
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0829638327;;ADMINISTRATIVE, FINANCIAL & COMMERCIAL SUPPORT;8340;DAMME;België;2024;801;801
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0526813928;;DLC DAK- EN GEVELWERKEN;8340;DAMME;België;2025;204;204
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0832400253;;DAKWERKEN DE BOEVER;8340;DAMME;België;2024;439;439
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0462099783;;BART VERLEYE;8340;DAMME;België;2025;131;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0884198748;;SOLARROOF;8340;DAMME;België;2022;54;0
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0711795304;;KINE HEYMAN;8340;DAMME;België;2022;537;537
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0475102931;;LONNEVILLE FILIP;8340;DAMME;België;2024;567;567
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0429599934;;TER WYNDT;8340;DAMME;België;2025;824;1,013
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0891099210;;ACA-DUMON;8340;DAMME;België;2024;938;742
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0568686947;;DAKWERKEN CASIER;8340;DAMME;België;2024;805;805
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0502597877;;DE KASTEELHOEVE MOERKERKE;8340;DAMME;België;2025;421;421
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0849200752;;ELECTRONICK;8340;DAMME;België;2022;84;84
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0692740742;;DEMAECKER GHELEYNS;8340;DAMME;België;2023;525;525
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0436965006;;GEERT DE LEYN;8340;DAMME;België;2023;102;164
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0750698143;;JUMELO;8340;DAMME;België;2022;864;864
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;1007406267;;DE PRAKTIJK IN BEWEGING COMMV;8340;DAMME;België;2024;99;99
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0423343137;;BOUWONDERNEMING VAN HULLE WILLY EN ZOON;8340;DAMME;België;2023;0;173
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0840840243;;DIERENARTS JANNA WITTEBROODT;8340;DAMME;België;2023;1,620;1,620
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0794723968;;FLORABOR;8340;DAMME;België;2023;227;227
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0825900560;;SILEX;8340;DAMME;België;2025;284;215
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0707878878;;JULIE STALLAERT CONSULTING;8340;DAMME;België;2024;3,225;2,802
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0676575097;;WEBLOVE;8340;DAMME;België;2022;585;585
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0680485979;;IMMO-VI;8340;DAMME;België;2022;344;344
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0897668484;;ZAPA FOODS;8340;DAMME;België;2023;4,140;4,140
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0635906363;;WICA;8340;DAMME;België;2023;367;785
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0711795304;;KINE HEYMAN;8340;DAMME;België;2025;209;209
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0476387289;;WATELLE;8340;DAMME;België;2025;144;144
Economie Wetenschap en Innovatie;Groei-ondersteuning kmo's en groeibedrijven;Subsidie voor opleiding en advies voor kmo's en zelfstandigen (kmo-portefeuille);Fonds voor Innoveren en Ondernemen;0437299358;;DKH;8340;DAMME;België;2024;105;105
